,distancia_km,peso_kg,num_paradas,tempo_estimado_min,indice_combustivel,custo_estimado
0,105.7,340.66,3,172.22,1.274,178.71312090945406
1,116.28,261.25,6,147.9,1.206,179.60281583894746
2,10.55,22.65,9,18.91,1.041,43.063276544143946
3,38.45,112.74,2,60.85,1.031,76.53216489613223
4,138.63,288.03,9,189.34,1.058,192.76668804316063
5,167.61,61.1,5,267.15,1.158,217.00176703029842
6,64.86,250.56,7,91.13,1.25,129.1994570628097
7,179.25,69.87,10,273.99,1.01,218.0083741963067
8,145.7,27.35,5,230.63,0.946,175.75592679700208
9,42.04,89.96,4,70.98,0.892,68.02759736964657
10,113.07,221.74,2,175.97,1.289,180.40404908150293
11,73.67,438.92,5,90.91,0.818,115.82537118352772
12,40.47,474.68,5,42.44,0.83,84.54930194709664
13,158.19,239.61,5,254.79,1.048,209.329894288089
14,193.27,231.1,3,267.2,0.908,234.1809583922955
15,50.31,319.01,4,76.51,1.178,112.61145934361406
16,21.29,162.98,2,41.21,1.164,72.1687781403953
17,122.69,59.67,8,178.3,0.917,151.61471471617162
18,147.15,26.5,5,218.78,1.012,182.36083768830878
19,58.87,319.19,1,85.36,0.982,106.16862549127103
20,138.63,406.32,7,209.35,1.026,197.33553970773323
21,105.98,335.46,8,150.6,0.816,142.916292331713
22,14.45,326.23,5,23.5,1.112,70.78498670301346
23,31.88,212.86,1,79.63,1.238,91.88666107202982
24,41.46,328.64,8,40.46,0.847,78.17484082052897
25,198.89,105.37,3,306.96,0.927,233.96677215130387
26,106.53,330.3,8,176.48,1.149,169.18867362593102
27,117.86,265.28,10,163.89,0.973,163.27801940825776
28,148.29,374.51,8,210.21,1.234,221.67693491509186
29,110.68,47.78,7,161.34,1.278,166.67694225101513
30,183.06,392.48,6,251.82,0.863,229.74545555587883
31,162.54,343.93,3,258.7,1.18,230.37522598054886
32,83.58,347.84,9,113.73,0.885,125.86977561565942
33,74.66,248.94,7,116.1,1.181,133.85238988057176
34,190.81,487.71,2,265.41,1.102,262.12351224923367
35,72.01,102.56,2,116.66,0.838,95.57077945631184
36,173.69,150.21,10,249.76,1.286,238.61570540986162
37,166.9,114.6,10,222.94,1.155,219.22974436858374
38,109.94,25.04,3,155.23,0.854,131.43250882244524
39,184.88,452.08,1,305.43,1.005,246.2819980578409
40,23.94,40.97,3,29.19,0.801,39.26477491027674
41,25.06,304.0,3,36.22,1.113,80.512341243301
42,141.79,315.79,9,207.71,0.839,180.58821393978042
43,178.64,189.59,10,261.08,1.003,223.98436904905407
44,36.11,7.61,7,35.62,1.141,76.42144287907321
45,58.74,421.27,7,82.09,1.187,128.1471429201759
46,136.14,193.08,10,208.76,1.06,184.6728641606443
47,37.04,276.28,5,54.36,0.855,71.09781099765495
48,141.77,355.56,1,228.55,1.01,196.30133556053414
49,100.09,337.96,5,160.95,0.996,151.03196864399808
