distancia_km,peso_kg,num_paradas,tempo_estimado_min,indice_combustivel,custo_entrega
78.04,26.79,5,119.47,0.9,107.65
190.39,266.15,2,297.22,1.234,253.33
147.74,270.78,10,228.68,1.157,229.12
121.74,319.08,6,159.66,1.081,189.38
35.42,363.32,5,68.72,1.036,83.99
35.42,487.95,6,42.66,1.072,103.16
16.33,258.63,1,10.89,0.88,54.0
173.9,162.16,5,250.05,0.902,186.96
122.22,397.8,9,184.5,0.846,163.79
143.07,136.15,10,192.34,0.877,179.9
9.01,220.05,2,12.97,1.027,38.09
194.13,40.15,1,297.64,1.065,227.72
167.33,13.65,10,267.6,0.809,180.71
46.41,481.36,9,72.25,1.198,127.47
40.46,418.15,10,40.59,0.947,136.08
40.76,348.29,9,63.38,1.256,119.84
64.33,205.07,9,80.59,1.284,141.17
107.33,87.47,6,144.22,0.893,146.05
89.23,79.06,8,113.4,1.031,131.26
61.79,125.87,1,64.02,0.801,60.46
124.31,275.06,10,177.96,1.099,197.63
32.2,357.58,4,65.24,1.104,86.49
61.97,330.44,1,126.8,0.924,77.82
76.44,140.69,8,106.06,1.079,134.39
93.93,477.48,1,157.19,0.913,137.88
158.11,369.21,3,231.25,0.88,170.82
43.94,277.62,4,41.14,1.126,92.92
105.28,306.25,8,168.43,0.963,169.18
120.52,210.38,6,184.3,1.095,179.41
14.06,124.62,10,48.36,1.017,84.31
123.47,178.63,7,162.19,1.292,193.34
38.25,379.17,8,99.32,0.875,91.39
17.69,8.18,2,50.4,1.032,38.58
190.03,58.92,10,284.78,1.14,253.91
193.3,23.96,8,285.47,0.998,230.24
162.64,21.32,3,233.22,1.287,229.82
64.4,427.87,7,98.25,1.161,120.91
24.05,352.13,3,33.31,1.128,71.09
138.43,237.61,7,215.35,1.179,196.29
90.83,49.82,2,131.83,1.276,124.02
28.8,246.32,10,64.42,1.254,108.23
101.56,237.26,6,154.21,1.162,148.81
11.71,87.43,3,13.71,1.175,51.08
182.32,217.49,3,288.84,0.873,180.56
55.46,199.85,9,58.86,0.851,111.32
134.19,308.31,7,206.4,1.085,180.09
65.78,317.91,5,99.06,0.809,97.21
106.41,23.61,10,138.46,1.041,177.63
111.61,187.93,7,141.79,0.905,164.48
41.05,313.3,9,76.73,0.973,102.16
194.07,252.06,1,305.55,1.188,250.49
156.15,428.39,7,236.81,1.271,258.87
188.2,329.69,6,308.05,0.836,219.0
179.49,82.3,10,275.85,1.067,237.2
121.59,36.21,9,201.13,1.241,186.18
184.77,321.57,1,283.45,0.841,196.45
22.26,14.23,4,29.25,1.212,67.53
43.22,293.3,9,48.96,0.979,121.56
13.82,470.17,4,11.68,0.961,49.43
68.44,288.16,10,98.8,1.289,137.32
80.79,194.7,3,141.64,0.9,120.72
57.91,322.0,9,98.42,1.147,114.55
166.6,229.67,2,254.86,1.211,233.72
74.57,273.26,4,124.9,0.821,103.96
59.78,470.79,6,97.58,1.135,121.38
110.83,193.67,2,170.17,1.276,164.87
32.48,480.63,8,26.24,0.862,82.6
161.43,452.77,8,259.23,1.248,264.99
19.54,98.7,1,22.43,1.097,60.23
197.44,35.61,3,312.49,1.108,243.8
155.59,51.29,10,251.16,1.106,217.94
43.75,10.09,9,55.57,0.949,74.91
6.08,48.13,5,23.36,1.268,30.91
164.01,341.82,6,240.61,1.274,233.98
142.84,36.52,4,208.93,1.113,180.74
147.16,160.17,10,224.6,1.192,226.9
155.4,422.59,2,237.36,1.106,214.06
19.44,12.61,8,29.74,1.042,48.85
74.9,407.42,6,92.34,1.13,149.45
27.59,141.65,5,39.57,1.077,76.75
173.31,59.96,9,294.13,1.099,232.48
126.54,348.67,1,148.05,1.192,160.0
69.53,314.84,5,117.33,1.04,132.84
17.39,438.86,6,41.95,0.82,73.55
65.64,367.8,5,78.09,0.882,107.32
68.41,401.94,6,95.57,1.019,128.28
147.27,141.74,6,205.9,1.162,194.5
129.32,89.54,7,221.8,1.097,180.29
178.01,375.56,4,283.56,1.125,247.01
97.08,403.61,8,162.89,1.04,171.86
