distancia_km,peso_kg,num_paradas,tempo_estimado_min,indice_combustivel
105.7,340.66,3,172.22,1.274
116.28,261.25,6,147.9,1.206
10.55,22.65,9,18.91,1.041
38.45,112.74,2,60.85,1.031
138.63,288.03,9,189.34,1.058
167.61,61.1,5,267.15,1.158
64.86,250.56,7,91.13,1.25
179.25,69.87,10,273.99,1.01
145.7,27.35,5,230.63,0.946
42.04,89.96,4,70.98,0.892
113.07,221.74,2,175.97,1.289
73.67,438.92,5,90.91,0.818
40.47,474.68,5,42.44,0.83
158.19,239.61,5,254.79,1.048
193.27,231.1,3,267.2,0.908
50.31,319.01,4,76.51,1.178
21.29,162.98,2,41.21,1.164
122.69,59.67,8,178.3,0.917
147.15,26.5,5,218.78,1.012
58.87,319.19,1,85.36,0.982
138.63,406.32,7,209.35,1.026
105.98,335.46,8,150.6,0.816
14.45,326.23,5,23.5,1.112
31.88,212.86,1,79.63,1.238
41.46,328.64,8,40.46,0.847
198.89,105.37,3,306.96,0.927
106.53,330.3,8,176.48,1.149
117.86,265.28,10,163.89,0.973
148.29,374.51,8,210.21,1.234
110.68,47.78,7,161.34,1.278
183.06,392.48,6,251.82,0.863
162.54,343.93,3,258.7,1.18
83.58,347.84,9,113.73,0.885
74.66,248.94,7,116.1,1.181
190.81,487.71,2,265.41,1.102
72.01,102.56,2,116.66,0.838
173.69,150.21,10,249.76,1.286
166.9,114.6,10,222.94,1.155
109.94,25.04,3,155.23,0.854
184.88,452.08,1,305.43,1.005
23.94,40.97,3,29.19,0.801
25.06,304.0,3,36.22,1.113
141.79,315.79,9,207.71,0.839
178.64,189.59,10,261.08,1.003
36.11,7.61,7,35.62,1.141
58.74,421.27,7,82.09,1.187
136.14,193.08,10,208.76,1.06
37.04,276.28,5,54.36,0.855
141.77,355.56,1,228.55,1.01
100.09,337.96,5,160.95,0.996
