StudyHours,Pass
5.62,0
14.26,1
10.98,1
8.98,1
2.34,0
2.34,0
0.87,0
12.99,1
9.02,1
10.62,1
0.31,0
14.55,1
12.49,1
3.19,0
2.73,0
2.75,0
4.56,0
7.87,1
6.48,1
4.37,0
9.18,1
2.09,0
4.38,1
5.5,1
6.84,1
11.78,1
3.0,0
7.71,0
8.89,1
0.7,0
9.11,1
2.56,0
0.98,0
14.23,1
14.48,1
12.13,1
4.57,0
1.47,0
10.26,1
6.6,0
1.83,0
7.43,1
0.52,0
13.64,1
3.88,0
9.94,1
4.68,0
7.8,1
8.2,0
2.77,0
14.54,1
11.63,1
14.09,1
13.42,1
8.97,0
13.83,1
1.33,0
2.94,0
0.68,0
4.88,0
5.83,1
4.07,1
12.43,1
5.35,0
4.21,0
8.14,0
2.11,0
12.03,1
1.12,0
14.8,1
11.58,1
2.98,0
0.08,0
12.23,1
10.6,0
10.94,1
11.57,1
1.11,0
5.38,0
1.74,0
12.95,1
9.35,1
4.96,0
0.95,0
4.66,1
4.88,0
10.94,1
9.56,1
13.31,0
7.08,0
1.79,0
10.7,1
11.41,1
8.42,1
11.56,1
7.41,0
7.84,1
6.41,0
0.38,0
1.62,0
0.47,0
9.55,0
4.72,0
7.63,0
13.61,0
3.74,0
6.16,0
11.33,1
3.43,0
1.15,0
4.35,0
2.42,0
13.95,1
12.12,1
9.5,1
13.07,1
12.06,1
2.8,0
13.39,1
8.09,1
12.11,1
13.44,1
4.77,0
1.65,0
3.42,0
6.41,0
12.27,1
12.91,1
0.1,0
7.66,1
6.26,0
3.33,0
1.8,0
5.06,0
14.14,1
4.85,0
7.78,0
10.55,1
5.45,0
14.58,1
14.44,1
3.78,0
7.46,1
4.51,0
4.27,0
0.55,0
9.14,0
7.54,0
0.77,0
4.18,0
13.62,1
3.59,0
2.17,0
7.34,1
14.78,1
3.63,0
10.08,1
11.42,1
3.56,0
10.92,1
5.52,0
9.48,1
9.5,1
8.04,0
1.35,0
12.53,1
4.81,0
2.8,0
0.61,0
8.86,1
10.16,1
0.25,0
7.68,0
3.4,0
9.68,1
2.62,0
10.36,1
5.8,0
14.05,1
2.06,0
5.12,1
1.7,0
13.87,1
13.16,1
3.87,0
9.9,0
12.26,1
8.33,1
7.94,1
3.63,0
1.4,0
13.46,1
13.51,1
9.5,1
5.09,0
5.24,1
10.89,0
13.46,1
13.31,1
11.7,1
9.63,1
1.26,0
2.42,0
13.48,1
9.1,1
0.14,0
1.52,0
9.95,1
0.08,0
2.41,1
8.23,1
10.38,1
9.78,1
3.36,0
10.68,1
3.56,0
4.88,0
11.2,1
9.74,1
12.74,1
9.86,0
8.52,1
1.41,0
5.52,1
3.98,0
3.66,0
14.6,1
5.9,0
13.38,1
9.47,1
11.92,1
7.54,1
8.65,1
7.39,0
2.93,0
10.84,1
4.21,0
0.36,0
9.68,0
2.66,0
14.11,1
14.31,1
13.72,1
5.55,1
0.23,0
13.92,1
6.42,0
14.5,1
14.45,1
12.8,1
4.42,0
5.78,0
12.77,1
4.75,0
2.54,0
8.35,1
14.04,1
10.44,1
8.55,1
1.46,0
9.23,1
14.85,1
2.1,0
7.77,1
13.16,1
11.11,1
10.46,1
10.54,1
5.39,0
4.4,0
12.14,1
12.15,1
13.01,1
13.7,1
7.67,1
7.52,1
11.97,1
9.75,0
10.53,1
11.94,1
13.35,1
5.07,0
5.63,0
1.41,0
8.67,1
0.54,0
6.98,0
8.14,1
4.3,0
8.86,1
0.46,0
0.56,0
12.34,1
5.4,0
1.91,0
7.83,1
11.55,1
3.24,0
9.34,1
1.28,0
0.78,0
7.97,0
8.11,1
9.56,1
10.89,1
14.64,1
7.74,0
4.84,0
11.93,1
4.06,0
6.58,0
1.18,0
0.38,0
14.44,1
12.54,1
10.44,1
6.13,0
2.6,0
2.35,0
3.75,0
8.24,1
10.72,1
9.9,1
4.2,0
14.32,1
11.07,1
8.32,1
9.18,1
6.29,0
3.72,0
5.34,0
11.37,1
0.22,0
1.74,1
0.69,0
0.61,0
12.83,1
10.55,1
7.11,0
1.47,0
7.37,0
7.1,0
2.6,0
6.51,1
5.98,0
9.24,1
9.53,1
0.68,0
5.62,1
9.39,1
7.55,0
12.85,1
9.88,1
2.44,0
1.06,0
9.64,0
0.4,0
8.79,1
14.1,1
8.63,1
5.82,1
9.65,1
6.87,1
8.18,1
14.12,1
5.79,0
14.42,1
13.58,1
2.94,0
1.04,0
1.51,0
0.27,0
1.42,0
10.25,1
1.07,0
4.78,0
12.67,1
0.35,0
12.22,1
4.23,0
1.77,0
10.45,1
9.43,0
13.16,1
11.03,1
12.05,1
4.23,0
2.66,0
11.26,0
12.1,1
14.86,1
6.19,0
5.58,0
11.65,1
5.11,0
13.96,1
12.88,1
6.43,0
11.26,1
11.32,1
1.55,0
13.54,1
7.58,1
12.4,1
4.8,0
13.43,1
5.84,1
0.16,0
13.58,1
1.37,0
4.79,0
14.25,1
14.26,1
8.6,1
9.48,1
6.73,1
4.4,0
4.93,0
10.09,1
11.29,1
11.87,1
11.84,1
1.37,0
7.42,0
0.86,0
8.24,0
6.62,0
13.32,1
5.26,0
1.76,0
2.14,0
11.42,1
9.27,1
1.52,0
1.26,0
10.51,1
1.09,0
12.33,1
10.59,1
1.22,0
1.27,0
14.8,1
5.61,0
5.56,0
12.19,1
14.21,1
14.79,1
11.3,1
5.64,1
1.25,0
11.66,1
8.38,1
6.36,1
13.6,1
1.67,0
7.39,1
0.17,0
7.03,1
0.84,0
1.78,0
1.76,0
9.74,1
11.19,1
8.75,1
14.43,0
5.62,0
4.29,1
13.03,1
3.35,0
14.45,1
0.18,0
14.55,1
0.65,0
13.37,1
7.92,1
14.89,1
1.11,0
8.31,0
14.54,1
7.85,1
9.44,1
10.44,1
6.82,0
9.41,1
8.76,1
13.52,1
0.68,0
4.21,0
14.26,1
13.35,1
6.83,0
9.3,1
4.16,0
2.82,0
6.96,0
5.3,0
8.75,1
1.17,0
14.62,1
14.79,1
10.47,1
8.04,1
4.64,0
12.21,1
10.27,1
2.44,0
13.66,1
12.34,1
14.25,1
10.89,1
9.2,0
6.27,0
13.99,1
12.99,1
0.68,0
0.4,0
5.65,0
12.16,1
14.81,1
2.26,0
8.91,1
5.71,1
14.55,1
12.63,1
12.57,1
7.03,0
6.22,0
4.1,0
0.85,0
12.97,1
12.19,1
15.0,1
14.95,1
8.33,1
11.53,1
14.17,1
12.74,1
3.71,0
6.76,0
1.94,0
14.31,1
9.09,1
3.43,0
10.08,1
9.27,0
5.37,0
1.7,0
10.07,1
7.8,1
11.58,1
7.8,0
12.78,1
8.28,0
8.41,0
13.15,1
6.05,0
2.01,0
0.43,0
11.33,1
9.3,0
10.56,1
3.19,0
2.05,0
0.22,0
5.26,0
8.85,1
5.88,0
6.56,0
13.56,1
5.22,0
7.71,0
11.75,1
5.95,0
9.33,0
12.94,1
14.24,1
2.21,0
13.9,1
7.38,1
3.87,0
6.89,0
14.7,1
7.39,1
4.93,0
9.5,0
3.6,0
1.14,0
1.93,0
1.92,0
2.28,0
2.08,0
9.61,0
2.73,0
5.19,0
13.45,1
7.11,1
10.01,1
2.58,0
2.88,0
0.61,0
2.53,0
4.18,0
2.66,0
1.33,0
1.81,0
6.91,0
3.1,0
5.46,0
7.55,1
10.36,1
0.59,0
11.99,1
9.42,1
1.23,0
13.1,1
13.81,1
0.92,0
4.15,0
12.09,1
11.22,1
2.77,0
3.14,0
5.56,0
7.27,1
9.27,1
5.53,0
6.94,0
11.21,1
0.55,0
3.79,0
10.7,1
13.43,1
7.68,0
7.98,0
1.61,0
6.71,0
7.99,1
3.64,0
4.04,1
5.66,1
0.3,0
4.83,0
3.17,0
4.91,0
1.8,0
13.36,1
8.9,1
10.19,1
11.84,1
7.48,1
1.3,0
8.06,1
8.8,1
11.18,1
6.47,0
1.91,0
4.26,0
5.45,0
9.69,1
8.56,1
5.34,0
14.8,1
9.09,0
3.56,0
1.53,1
2.29,0
3.69,0
2.41,0
2.8,0
4.28,0
2.6,0
13.45,1
1.2,0
7.87,0
6.16,1
14.74,1
1.68,0
5.97,0
14.54,1
12.98,1
12.26,1
3.87,1
2.56,0
10.03,1
13.94,1
8.35,0
8.57,0
4.2,0
11.54,1
2.81,0
4.86,0
6.38,0
7.61,1
3.64,0
1.72,0
9.16,1
4.33,0
8.72,1
2.32,0
7.22,0
7.99,0
0.78,0
5.05,0
2.02,0
0.95,0
14.85,1
4.84,0
12.15,1
3.82,0
10.22,1
11.4,1
8.93,1
7.07,1
6.18,0
5.23,0
13.94,0
12.46,1
14.48,1
1.86,0
10.96,1
14.08,1
2.72,0
1.0,0
11.12,1
8.62,1
12.63,1
2.1,0
11.93,0
3.02,0
2.45,0
2.46,0
12.22,1
9.98,1
7.85,1
5.38,0
13.16,1
5.89,0
12.25,1
6.59,0
5.65,0
6.94,1
4.52,0
11.21,1
7.54,1
3.48,0
13.49,1
5.76,0
8.15,1
13.6,1
9.36,1
1.75,0
14.1,1
9.42,1
5.02,0
2.09,0
11.91,1
9.3,0
8.0,1
13.41,1
11.83,1
2.28,0
4.68,0
3.73,0
11.16,1
0.5,0
8.55,1
11.44,1
13.15,1
5.13,0
12.32,1
1.66,0
12.7,1
1.91,0
5.96,1
11.96,1
2.25,0
3.44,0
10.83,1
10.8,1
9.62,1
10.41,1
8.14,0
3.78,0
5.19,0
2.72,0
13.63,1
8.75,1
6.01,0
6.93,0
14.21,1
2.3,0
8.79,1
7.59,1
9.17,1
0.27,0
13.08,1
13.98,1
8.48,1
10.45,1
13.84,1
10.61,0
2.29,0
8.64,1
9.1,1
6.36,0
11.05,1
14.02,1
13.88,1
6.76,0
1.7,0
14.77,1
12.58,1
1.87,0
13.81,1
13.05,1
7.78,0
8.87,1
5.99,0
0.82,0
5.03,0
12.04,1
0.07,0
5.0,0
5.97,1
8.06,0
13.8,1
5.2,0
5.2,1
11.06,1
6.78,0
3.37,1
6.79,0
2.11,0
2.65,0
7.48,1
6.28,0
13.72,1
5.44,0
8.71,0
9.48,1
0.2,0
9.95,1
2.67,0
14.42,1
2.23,0
6.22,0
1.28,0
14.95,1
7.53,0
8.93,1
1.01,0
11.25,1
3.15,0
13.47,1
3.08,0
2.86,0
0.55,0
7.08,0
8.47,0
0.99,0
11.63,1
6.8,1
7.87,1
6.61,0
6.01,1
8.39,0
2.33,0
2.73,0
12.93,1
14.19,1
5.6,0
4.06,0
9.66,1
6.13,1
0.38,0
2.34,0
10.74,1
9.88,1
0.41,0
3.33,0
3.47,0
10.08,1
0.3,0
1.56,0
12.0,1
2.68,0
9.79,1
3.57,0
1.49,0
3.65,1
10.83,1
12.84,1
12.45,1
5.96,0
10.02,1
3.07,0
4.4,0
13.45,1
0.2,0
1.28,0
3.12,0
0.4,0
2.72,0
8.75,1
6.32,1
13.39,1
12.26,1
5.13,0
3.89,0
5.7,0
8.85,1
4.02,0
9.36,0
6.14,0
8.28,1
6.54,1
4.42,0
14.23,1
11.45,1
2.1,0
13.03,1
7.31,0
13.42,1
12.0,1
6.38,1
0.34,0
4.03,0
8.12,1
9.5,1
3.87,0
2.09,0
12.52,1
14.77,1
7.89,0
2.58,0
4.08,0
0.28,0
13.71,1
1.77,0
8.65,1
4.11,0
8.31,1
9.77,1
12.45,1
3.1,0
0.16,0
2.05,0
13.5,1
13.11,1
8.96,1
9.01,1
9.98,1
2.63,0
13.72,1
6.28,1
5.75,1
7.78,0
0.7,0
2.49,0
11.07,1
1.24,0
9.05,1
3.68,0
5.84,0
4.33,0
5.34,0
10.79,1
4.46,0
8.5,1
7.14,0
9.96,1
14.05,1
10.99,1
3.22,0
0.47,0
3.93,0
8.93,1
0.77,0
7.45,1
8.95,0
5.01,0
11.56,1
1.6,0
1.13,0
10.92,1
7.43,0
10.33,1
6.52,0
3.7,0
12.29,1
11.99,1
10.42,1
4.08,0
8.85,1
5.41,0
1.37,0
13.76,1
2.05,0
14.25,1
6.69,0
